Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Development),Custom field (Goals),Custom field (Issue color),Custom field (Rank),Sprint,Custom field (Start date),Custom field (Story point estimate),Team Id,Team Name,Custom field (Vulnerability),Comment,Parent,Parent key,Parent summary,Status Category,Status Category Changed
[Test] - Generar test automatizado para actividades,IN-197,10947,Task,Backlog,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,,,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,21/May/26 7:52 PM,21/May/26 7:52 PM,,,,0,,,Mirko Ivo Wlk,,5f5ac84710d187006f3f2792,,,,,,,,,,,,,0|i0015z:,Tablero Sprint 8 (En curso),,,,,,,,,,To Do,21/May/26 7:52 PM
[Infra] - Generar script de usuarios de bbdd para cadenas de conexion,IN-196,10946,Task,Backlog,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,,,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,21/May/26 7:49 PM,21/May/26 7:49 PM,,,,0,,,Mirko Ivo Wlk,,5f5ac84710d187006f3f2792,,,,,,,,,,,,,0|i0015r:,Tablero Sprint 8 (En curso),,,,,,,,,,To Do,21/May/26 7:49 PM
[Documentacion] - Agregar daily y retro de sprint pasados,IN-195,10945,Task,Backlog,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,,Sacha Del Barrio,712020:7c75e354-30b3-44b2-8e1e-0cd0516541b1,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,18/May/26 12:40 PM,21/May/26 7:52 PM,,,,0,,,Mirko Ivo Wlk,,5f5ac84710d187006f3f2792,,,,,,,,,,,,,0|i0015j:,Tablero Sprint 8 (En curso),,,,,,,,,,To Do,18/May/26 12:40 PM
[Jira] - Ajustar tablero,IN-194,10912,Task,Backlog,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,,,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,15/May/26 7:23 PM,15/May/26 7:23 PM,,,,0,,,Mirko Ivo Wlk,,5f5ac84710d187006f3f2792,,,,,,,,,,,,,0|i0015b:,Tablero Sprint 8 (En curso),,,,,,,,,,To Do,15/May/26 7:23 PM
[Documetacion] - Documentar decision del por que de cada rol,IN-193,10911,Task,Awaiting Feedback,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,15/May/26 7:23 PM,21/May/26 1:06 AM,,,,0,,,Mirko Ivo Wlk,,5f5ac84710d187006f3f2792,,,,,,,,,,,,,0|i00153:,Tablero Sprint 8 (En curso),,,,,,,,,,In Progress,21/May/26 1:06 AM
[Documentacion] - Sprint 2 Mauricio,IN-192,10910,Task,In Progress,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,,,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,15/May/26 7:22 PM,21/May/26 1:06 AM,,,,0,,,Mirko Ivo Wlk,,5f5ac84710d187006f3f2792,,,,,,,,,,,,,0|i0014v:,Tablero Sprint 8 (En curso),,,,,,,,,,In Progress,21/May/26 1:06 AM
[Test] - Verificar funcionamiento de login,IN-191,10909,Task,Awaiting Feedback,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,15/May/26 7:21 PM,21/May/26 1:06 AM,,,,0,,,Mirko Ivo Wlk,,5f5ac84710d187006f3f2792,,,,,,,,,,,,,0|i0014n:,Tablero Sprint 8 (En curso),,,,,,,,,,In Progress,21/May/26 1:06 AM
[Documentacion] - Justificar permisos con respecto a negocio,IN-190,10908,Task,Awaiting Feedback,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,15/May/26 7:21 PM,21/May/26 1:06 AM,,,,0,,,Mirko Ivo Wlk,,5f5ac84710d187006f3f2792,,,,,,,,,,,,,0|i0014f:,Tablero Sprint 8 (En curso),,,,,,,,,,In Progress,21/May/26 1:06 AM
[Documentacion] - Mapa de procesos por actor,IN-189,10907,Task,Awaiting Feedback,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,15/May/26 7:21 PM,21/May/26 1:05 AM,,,,0,,,Mirko Ivo Wlk,,5f5ac84710d187006f3f2792,,,,,,,,,,,,,0|i00147:,Tablero Sprint 8 (En curso),,,,,,,,,,In Progress,21/May/26 1:05 AM
"[Documentacion] - Justificar rol de sistema, con respecto a los actores identificados",IN-188,10906,Task,Awaiting Feedback,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,15/May/26 7:20 PM,21/May/26 1:05 AM,,,,0,,,Mirko Ivo Wlk,,5f5ac84710d187006f3f2792,,,,,,,,,,,,,0|i0013z:,Tablero Sprint 8 (En curso),,,,,,,,,,In Progress,21/May/26 1:05 AM
